episode,reward,steps,epsilon
213,450.0,615,0.3438081748424137
214,300.0,589,0.3420891339682016
215,600.0,967,0.3403786882983606
216,360.0,519,0.3386767948568688
217,660.0,747,0.33698341088258443
218,390.0,611,0.3352984938281715
219,330.0,419,0.33362200135903064
220,500.0,771,0.33195389135223546
221,720.0,663,0.3302941218954743
222,290.0,533,0.32864265128599696
223,490.0,625,0.326999438029567
224,1170.0,745,0.3253644408394192
225,260.0,595,0.3237376186352221
226,360.0,571,0.322118930542046
227,330.0,497,0.32050833588933575
228,670.0,717,0.31890579420988907
229,720.0,661,0.3173112652388396
230,270.0,541,0.3157247089126454
231,540.0,723,0.3141460853680822
232,380.0,527,0.3125753549412418
233,280.0,565,0.31101247816653554
234,920.0,673,0.30945741577570285
235,400.0,531,0.3079101286968243
236,1370.0,935,0.3063705780533402
237,650.0,675,0.30483872516307353
238,390.0,513,0.3033145315372582
239,270.0,501,0.3017979588795719
240,280.0,533,0.30028896908517405
241,340.0,509,0.2987875242397482
242,330.0,503,0.29729358661854943
243,700.0,1037,0.29580711868545667
244,1240.0,849,0.2943280830920294
245,1380.0,989,0.29285644267656924
246,250.0,463,0.2913921604631864
247,680.0,649,0.28993519966087045
248,500.0,727,0.2884855236625661
249,610.0,583,0.28704309604425327
250,330.0,557,0.285607880564032
251,240.0,497,0.28417984116121187
252,740.0,733,0.2827589419554058
253,400.0,573,0.28134514724562876
254,320.0,507,0.2799384215094006
255,480.0,657,0.27853872940185365
256,280.0,431,0.27714603575484437
257,210.0,407,0.2757603055760701
258,440.0,635,0.2743815040481898
259,800.0,707,0.2730095965279488
260,310.0,541,0.27164454854530906
261,560.0,789,0.2702863258025825
262,660.0,737,0.2689348941735696
263,600.0,617,0.26759021970270175
264,330.0,423,0.2662522686041882
265,510.0,661,0.2649210072611673
266,430.0,669,0.26359640222486147
267,940.0,751,0.26227842021373715
268,490.0,731,0.2609670281126685
269,390.0,587,0.25966219297210513
270,510.0,623,0.2583638820072446
271,920.0,863,0.2570720625972084
272,530.0,805,0.25578670228422234
273,300.0,517,0.25450776877280124
274,270.0,515,0.2532352299289372
275,1120.0,641,0.2519690537792925
276,390.0,627,0.2507092085103961
