update,episodes_completed,avg_reward,avg_score,policy_loss,value_loss,entropy,clip_frac,kl,action_diversity,unique_states,explained_variance,advantage_std,positive_adv_frac
500,1692,86.3,863.0,-0.003906776721123606,19.84393722936511,2.044088877737522,0.15869140625,0.004331481773988344,2.167931106712585,1043,0.7574249809980392,2.7070374405384063,0.4397705078125
510,1719,90.31875,903.1875,-0.0021253830345813185,1.1678363597020507,2.0504134744405746,0.1171875,0.003193915603333153,2.1631149178886617,1329,0.7615411639213562,2.7298348450660708,0.4415869140625
520,1750,90.35625,903.5625,-0.0027615300350589678,2.1576049085706472,2.0300060473382473,0.11767578125,0.0031554263696307316,2.135605084665941,1375,0.7646839368343353,2.7960805702209472,0.4434130859375
530,1777,92.31875,923.1875,-0.005148128024302423,31.790914498269558,2.088560339063406,0.1212158203125,0.005138877953868359,2.1764993584508203,1346,0.7580803537368774,2.921915874481201,0.434345703125
540,1807,90.675,906.75,-0.004410329813254066,2.465272602625191,2.059961147606373,0.1436767578125,0.002771189494524151,2.1739041764371763,1248,0.7581672096252441,2.959181870222092,0.428408203125
550,1835,89.91875,899.1875,-0.0040043178596533835,1.434964841697365,2.1005159579217434,0.1239013671875,0.0032224094902630895,2.183906079717314,1197,0.7477870130538941,3.0149728870391845,0.42314453125
560,1866,88.3,883.0,-0.005001746962079778,1.483415016438812,2.111938238143921,0.154296875,0.00230648455908522,2.1814171338030333,1272,0.7550388342142105,3.014534081220627,0.4230126953125
570,1895,86.35,863.5,-0.006066921749152243,1.9629862057045102,2.063587587326765,0.165771484375,0.005267501881462522,2.1687806356519337,1170,0.7489739322662353,3.0256255960464475,0.426279296875
580,1925,85.54375,855.4375,-0.0029351024713832885,1.8693606136366725,2.0369186848402023,0.12451171875,0.0029901716916356236,2.1785822774998156,1397,0.7500848931074142,2.930811675786972,0.42728515625
590,1954,84.95,849.5,-0.004824267467483878,8.362057760357857,2.0369393825531006,0.162353515625,0.005251632072031498,2.1600419538594666,1118,0.7478551435470581,2.9788705492019654,0.4248486328125
600,1982,84.01875,840.1875,-0.003099400259088725,3.00579478405416,2.0497991889715195,0.1337890625,0.005545689331484027,2.1472737818032366,1242,0.7798625606298447,2.7415860307216646,0.4204638671875
610,2012,86.1,861.0,-0.002750361803919077,1.669263075105846,2.076341141015291,0.1512451171875,0.0038946249551372603,2.1515587931030846,1231,0.7781064903736115,2.7841018438339233,0.4164697265625
620,2038,84.49375,844.9375,-0.004302323010051623,4.783974871039391,2.064867876470089,0.144775390625,0.0037892107502557337,2.174411542969425,1254,0.7821754616498947,2.707261515855789,0.41265625
630,2068,88.43125,884.3125,-0.002372386574279517,13.438699133694172,2.022974206134677,0.136962890625,0.004268311633495614,2.154084995433684,1130,0.7831141930818558,2.7297983884811403,0.4164697265625
640,2096,90.175,901.75,-0.004723234713310376,6.094630379229784,2.1353901140391827,0.1385498046875,0.003502023493638262,2.189841463325946,1290,0.7675150525569916,2.9033940291404723,0.4164697265625
650,2126,91.23125,912.3125,-0.0024083586904453114,6.054518358781934,2.097133308649063,0.1156005859375,0.005194425611989573,2.1818751991261194,1209,0.775177344083786,2.8841815292835236,0.4171484375
660,2151,93.2875,932.875,-0.0032524118287255988,1.9814015128649771,2.0589188560843468,0.162109375,0.004142289515584707,2.1736032710090747,1274,0.7846304351091384,2.8716592741012574,0.4155517578125
670,2182,92.90625,929.0625,-0.0056415240542264655,2.699940849095583,2.1045759953558445,0.175048828125,0.0027674992597894743,2.1897170084143402,1120,0.7867361205816269,2.915167592167854,0.4069921875
680,2212,92.575,925.75,-0.0058071738603757694,1.3303101556375623,2.10324415192008,0.1783447265625,0.002612839554785751,2.188718295191203,1377,0.7860338753461837,2.954469709992409,0.404052734375
690,2237,88.89375,888.9375,-0.003251171176088974,5.878174114972353,2.1305258348584175,0.13232421875,0.0045983302989043295,2.1837576717865796,1323,0.7949688011407852,2.8661195772886274,0.4063037109375
700,2268,85.18125,851.8125,-0.005278079494019039,1.8253002986311913,2.0984353721141815,0.1624755859375,0.0029297484579728916,2.1808946727082352,1199,0.7963908618688583,2.868209518790245,0.409677734375
710,2300,86.43125,864.3125,-0.004257799009792507,1.9586487961933017,2.0182880517095327,0.1234130859375,0.003998764092102647,2.1864558793250013,1203,0.798744933605194,2.8731033486127853,0.4133544921875
720,2328,84.56875,845.6875,-0.005719631531974301,1.8717726860195398,2.0421080850064754,0.1307373046875,0.0040854474355001,2.187413948615509,1326,0.8047951138019562,2.8577047997713088,0.4260107421875
730,2357,87.375,873.75,-0.005824635270982981,3.663651440292597,2.039735611528158,0.1541748046875,0.00727015825395938,2.1785508252919397,1361,0.8139827579259873,2.774783716797829,0.4281689453125
740,2385,88.48125,884.8125,-0.00497775393887423,9.574250150471926,2.036279022693634,0.149658203125,0.004200551367830485,2.1693659144809834,1276,0.8346071493625641,2.603342699408531,0.42908203125
750,2414,90.10625,901.0625,-0.0021940881852060556,4.037192370742559,2.058841086924076,0.1292724609375,0.003950714846723713,2.1907873220812135,1205,0.8445826143026351,2.5881998854875565,0.42443359375
760,2442,91.98125,919.8125,-0.005320312935509719,1.9823630461469293,2.072792634367943,0.1611328125,0.0053939762292429805,2.1853541826659924,1341,0.8486076158285141,2.57810163795948,0.4281787109375
770,2471,94.43125,944.3125,-0.0059955266187898815,9.041813246905804,2.0352512300014496,0.1778564453125,0.005278717333567329,2.187232891875942,1278,0.8540756785869599,2.6380126905441283,0.4344580078125
780,2503,97.15,971.5,-0.004146965191466734,1.7349290437996387,2.0241093151271343,0.115966796875,0.00287596981797833,2.174077677114244,1199,0.8485453242063522,2.835233836174011,0.429638671875
790,2530,97.81875,978.1875,-0.004077367251738906,3.3896142900921404,2.110873244702816,0.19091796875,0.005463447902002372,2.1921730906657793,1223,0.8451586127281189,2.911216787099838,0.4282470703125
800,2560,96.71875,967.1875,-0.004487950282054953,5.2817040756344795,2.1020493917167187,0.16796875,0.0047152108309092,2.1794705714574496,1214,0.8382831090688705,2.9537239360809324,0.4294287109375
810,2589,96.00625,960.0625,-0.0013668967731064186,14.899285121820867,2.082411102950573,0.1099853515625,0.003947374556446448,2.1804468489796065,1194,0.8378044533729553,2.9648233532905577,0.4314501953125
820,2621,98.35,983.5,-0.0045270038390299305,0.7373117292299867,2.062922663986683,0.1351318359375,0.002367200329899788,2.175871853363462,1300,0.8275468182563782,3.094849542379379,0.423427734375
830,2651,94.93125,949.3125,-0.0023119891702663153,11.219896424561739,2.0323096327483654,0.0994873046875,0.0027841827395604923,2.1529741322516944,1221,0.8229364091157914,3.1512011849880217,0.4248095703125
840,2682,94.7875,947.875,-0.003896141228324268,2.3814771454781294,2.042271204292774,0.1103515625,0.0039605299243703485,2.166834734102511,1137,0.8177833193540573,3.2149840235710143,0.426845703125
850,2711,96.5125,965.125,-0.0018864071171265095,1.0695229396224022,2.087564703077078,0.1484375,0.004134349161176942,2.1731841334404796,1270,0.8152596992254257,3.220650695562363,0.4314208984375
860,2743,98.04375,980.4375,-0.003177221748046577,2.012425140477717,2.033616641536355,0.1556396484375,0.005636545829474926,2.186051328803061,1232,0.8111408257484436,3.2681597781181337,0.427197265625
